Id,TimeStamp,DateTime,Dc,State,EnergyConsumption,VmsCount,MigratedVmsCount,CpuSpecs,RamSpecs,BwSpecs,SizeSpecs,CpuProv,RamProv,BwProv,SizeProv,CpuReq,RamReq,BwReq,SizeReq
13,1357354800670,2013-01-05 04:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
14,1357354800670,2013-01-05 04:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
15,1357354800670,2013-01-05 04:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
6,1357354800670,2013-01-05 04:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
7,1357354800670,2013-01-05 04:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
8,1357354800670,2013-01-05 04:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
9,1357354800670,2013-01-05 04:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
10,1357354800670,2013-01-05 04:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
1,1357354800670,2013-01-05 12:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
2,1357354800670,2013-01-05 12:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
3,1357354800670,2013-01-05 12:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
4,1357354800670,2013-01-05 12:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
5,1357354800670,2013-01-05 12:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
21,1357358400670,2013-01-05 02:00:00,5,Running,0.1552,3,0,3000,4096,1024,327680,2262,1269,30,157286,2262,1269,30,157286
22,1357358400670,2013-01-05 02:00:00,5,Running,0.1554,3,0,3000,4096,1024,327680,2283,1267,29,157286,2283,1267,29,157286
23,1357358400670,2013-01-05 02:00:00,5,Running,0.1549,3,0,3000,4096,1024,327680,2243,1288,30,157286,2243,1288,30,157286
24,1357358400670,2013-01-05 02:00:00,5,Running,0.1543,3,0,3000,4096,1024,327680,2197,1307,29,157286,2197,1307,29,157286
25,1357358400670,2013-01-05 02:00:00,5,Running,0.1555,3,0,3000,4096,1024,327680,2288,1300,30,157286,2288,1300,30,157286
16,1357358400670,2013-01-04 23:00:00,4,Running,0.1556,3,0,3000,4096,1024,327680,2293,1278,31,157286,2293,1278,31,157286
17,1357358400670,2013-01-04 23:00:00,4,Running,0.1542,3,0,3000,4096,1024,327680,2191,1344,31,157286,2191,1344,31,157286
18,1357358400670,2013-01-04 23:00:00,4,Running,0.1552,3,0,3000,4096,1024,327680,2264,1348,29,157286,2264,1348,29,157286
19,1357358400670,2013-01-04 23:00:00,4,Running,0.1223,1,0,3000,4096,1024,327680,783,445,9,52429,783,445,9,52429
20,1357358400670,2013-01-04 23:00:00,4,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
11,1357358400670,2013-01-05 05:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
12,1357358400670,2013-01-05 05:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
13,1357358400670,2013-01-05 05:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
14,1357358400670,2013-01-05 05:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
15,1357358400670,2013-01-05 05:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
6,1357358400670,2013-01-05 05:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
7,1357358400670,2013-01-05 05:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
8,1357358400670,2013-01-05 05:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
9,1357358400670,2013-01-05 05:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
10,1357358400670,2013-01-05 05:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
1,1357358400670,2013-01-05 13:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
2,1357358400670,2013-01-05 13:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
3,1357358400670,2013-01-05 13:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
4,1357358400670,2013-01-05 13:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
